id,date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
16449,2015-02-15 12:48:00,23.2,28.39,366.5,629.75,0.00499713630138535,0
16450,2015-02-15 12:49:00,23.2,28.39,303,631.666666666667,0.00499713630138535,0
16451,2015-02-15 12:49:59,23.245,28.445,243.5,633.5,0.00502063892456017,0
16452,2015-02-15 12:51:00,23.29,28.5,150,633.5,0.00504422920396206,0
16453,2015-02-15 12:52:00,23.2,28.4725,156.25,633,0.00501177475036214,0
16454,2015-02-15 12:53:00,23.1666666666667,28.5,140,627.666666666667,0.00500647529685735,0
16455,2015-02-15 12:53:59,23.125,28.525,132.75,633,0.00499819277539285,0
16456,2015-02-15 12:55:00,23.1,28.6,137.25,633.25,0.00500380786595964,0
16457,2015-02-15 12:55:59,23.1,28.65,144,635,0.00501262628025438,0
16458,2015-02-15 12:56:59,23.0666666666667,28.6666666666667,180.333333333333,632.666666666667,0.00500538116190697,0
16459,2015-02-15 12:58:00,23,28.65,173.5,630.25,0.00498214509903657,0
16460,2015-02-15 12:59:00,23,28.7,171.5,630.25,0.00499090970930674,0
16461,2015-02-15 13:00:00,23,28.7225,196.5,635.5,0.00499485386387368,0
16462,2015-02-15 13:01:00,22.9725,28.79,173.666666666667,635.666666666667,0.00499829155208688,0
16463,2015-02-15 13:01:59,22.9725,28.79,134.8,632.75,0.00499829155208688,0
16464,2015-02-15 13:02:59,22.89,28.79,103.5,637,0.00497318082098931,0
16465,2015-02-15 13:04:00,22.89,28.865,97,640,0.00498624016835599,0
16466,2015-02-15 13:05:00,22.89,29,97,640.5,0.00500974836462659,0
16467,2015-02-15 13:06:00,22.89,29,106,641.75,0.00500974836462659,0
16468,2015-02-15 13:07:00,22.8566666666667,29.0333333333333,94,642,0.00500535213884248,0
16469,2015-02-15 13:08:00,22.79,29,94,644.25,0.00497923595006916,0
16470,2015-02-15 13:08:59,22.79,29.05,94,641,0.00498788968285707,0
16471,2015-02-15 13:09:59,22.79,29.1,92.25,645,0.00499654365453048,0
16472,2015-02-15 13:11:00,22.76,29.1666666666667,93,639.333333333333,0.00499890770558842,0
16473,2015-02-15 13:12:00,22.73,29.2,87,636,0.00499549596350345,0
16474,2015-02-15 13:13:00,22.7,29.2,78.5,636,0.00498634005256076,0
16475,2015-02-15 13:14:00,22.7,29.29,70,636,0.00500183249802707,0
16476,2015-02-15 13:14:59,22.675,29.2675,78.5,643.75,0.00499032281292189,0
16477,2015-02-15 13:15:59,22.625,29.2675,87,649,0.00497508069986113,0
16478,2015-02-15 13:17:00,22.6,29.29,105,645,0.00497132443667279,0
16479,2015-02-15 13:18:00,22.6,29.365,92.25,641.75,0.00498415601797785,0
16480,2015-02-15 13:19:00,22.6,29.39,102,647,0.00498843332846294,0
16481,2015-02-15 13:20:00,22.6,29.39,95.6,646,0.00498843332846294,0
16482,2015-02-15 13:21:00,22.575,29.4175,97.75,644,0.00498550351528107,0
16483,2015-02-15 13:21:59,22.525,29.5,95.3333333333333,649.666666666667,0.0049843151520674,0
16484,2015-02-15 13:23:00,22.5,29.525,87.6,652.5,0.0049809407559926,0
16485,2015-02-15 13:24:00,22.5,29.6,94,642,0.00499369502351873,0
16486,2015-02-15 13:25:00,22.5,29.6,94,643,0.00499369502351873,0
16487,2015-02-15 13:25:59,22.5,29.625,95.5,654.5,0.00499794656134013,0
16488,2015-02-15 13:27:00,22.4725,29.675,100,653.75,0.00499802294378469,0
16489,2015-02-15 13:27:59,22.445,29.65,107,653.5,0.00498537136472974,0
16490,2015-02-15 13:28:59,22.4175,29.65,118,656.5,0.00497697672279156,0
16491,2015-02-15 13:30:00,22.4266666666667,29.73,131,652,0.00499331756369339,0
16492,2015-02-15 13:31:00,22.39,29.7,131.5,658.75,0.00497704034901491,0
16493,2015-02-15 13:32:00,22.39,29.7,107.5,656.75,0.00497704034901491,0
16494,2015-02-15 13:33:00,22.39,29.7,92,655,0.00497704034901491,0
16495,2015-02-15 13:34:00,22.39,29.7,95.5,652.5,0.00497704034901491,0
16496,2015-02-15 13:34:59,22.39,29.79,106.5,655.5,0.00499224333885032,0
16497,2015-02-15 13:36:00,22.39,29.79,90.5,656,0.00499224333885032,0
16498,2015-02-15 13:37:00,22.39,29.79,92.25,659.5,0.00499224333885032,0
16499,2015-02-15 13:38:00,22.39,29.79,91.3333333333333,656.666666666667,0.00499224333885032,0
16500,2015-02-15 13:38:59,22.34,29.89,78.5,656.75,0.00499380296381987,0
16501,2015-02-15 13:40:00,22.29,29.89,84.5,658,0.00497851096800831,0
16502,2015-02-15 13:40:59,22.31,29.956,81,659.5,0.00499571772652335,0
16503,2015-02-15 13:41:59,22.29,30,81,659.75,0.00499697987960895,0
